Lat;Long;Nom de l'installation;Commune;Code Postal;Directive IPPC;Code Seveso;Statut Seveso
48.5765023231; 2.59302280471;KUEHNE + NAGEL;SAVIGNY LE TEMPLE;77176;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.3811851892; 3.02714846752;GEMFI;MAROLLES SUR SEINE;77130;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.3856762664; 2.97894474826;YARA France;MONTEREAU FAULT YONNE;77130;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.5722093523; 2.47711946076;ALTIS SEMICONDUCTOR;CORBEIL ESSONNES;91100;Soumis à la directive IPPC;SB;Seveso seuil bas
48.7025330439; 2.61772702903;HEPPNER;BRIE COMTE ROBERT;77170;Non soumis à la directive IPPC;SB;Seveso seuil bas
49.0036190737; 1.70386210387;ONIVAL;MANTES LA JOLIE;78200;Soumis à la directive IPPC;SB;Seveso seuil bas
48.384533506; 2.9779592095;MENDES;MONTEREAU FAULT YONNE;77130;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.6415394989; 2.5483243206;UNIVAR;LIEUSAINT;77127;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9557190048; 2.89885432487;BASF (ex COGNIS FRANCE SIDOBRE SINNOVA);MEAUX;77100;Soumis à la directive IPPC;AS;Seveso seuil haut
48.973131685; 1.75046941479;SARP Industries;LIMAY;78520;Soumis à la directive IPPC;AS;Seveso seuil haut
49.20468583; 1.70618188083;Storengy;ST CLAIR SUR EPTE;95770;Non soumis à la directive IPPC;AS;Seveso seuil haut
49.0052067413; 2.20923892395;SILAR;BEAUCHAMP;95250;Non soumis à la directive IPPC;SB;Seveso seuil bas
49.0380827726; 2.69768929991;DISTRIBUTION FRANPRIX SA;ST MARD;77230;Non soumis à la directive IPPC;SB;Seveso seuil bas
48.9269059505; 2.60872507399;SITA FD ex FRANCE DECHETS (décharge cl1);VILLEPARISIS;77270;Soumis à la directive IPPC;AS;Seveso seuil haut
48.9014751412; 2.18395407221;CCMP;NANTERRE;92000;Non soumis à la directive IPPC;AS;Seveso seuil haut
48.9282644243; 2.22854656635;PROTEC INDUSTRIE;BEZONS;95870;Soumis à la directive IPPC;SB;Seveso seuil bas
48.3904901902; 2.98334653416;LINDE France s.a.;MONTEREAU FAULT YONNE;77130;Non soumis à la directive IPPC;SB;Seveso seuil bas
