NUTS_ID,NAME_LATN,AREA_TOT_2024,POP_TOT_2023,POP_09_RT_2023,POP_024_RT_2023,POP_65P_RT_2023,POP_80P_RT_2023,LIFE_EXP_2022,HIGH_EDU_2023,UNEMP_25P_2023,UNEMP_LT_25P_2023,GDP_CAP_PPS_2022,INC_PPS_2021,AREA_ART_RT,AREA_CUL_RT,AREA_BOI_RT,zone
CZ07,Střední Morava,9235,1212333,10.248834,25.2514,21.603553,4.7534794,79,22.3,2.2,28,25900,14500,5.0027070925825665,33.697888467785596,41.3427179209529,EU27
CZ08,Moravskoslezsko,5430,1189674,10.019636,25.16816,20.948512,4.4350805,77.5,22,3.4,47.8,25200,14500,5.5064456721915285,25.41436464088398,42.467771639042354,EU27
DE11,Stuttgart,10556,4205849,9.927722,24.8469,20.537304,6.9089974,82,37.1,2.7,24.4,51200,24100,9.871163319439182,30.115574081091324,37.703675634710116,EU27
DE12,Karlsruhe,6917,2848400,9.486694,24.6741,21.074884,6.9044376,81.6,37.2,2.7,35,44600,22900,10.669365331791239,22.00375885499494,51.828827526384266,EU27
DE13,Freiburg,9355,2322689,9.936328,25.31574,21.351847,6.9861699,82,33.9,1.9,23.7,38800,23300,5.18439337252806,22.39444147514698,46.52057723142705,EU27
DE14,Tübingen,8917,1903319,10.035837,25.61452,20.752065,6.7478967,82.1,37.2,1.8,34.7,44300,23400,7.27823258943591,26.64573286979926,35.707076370976786,EU27
DE21,Oberbayern,17528,4801769,9.97976,24.83982,19.672604,6.5970895,82.3,42.9,1.9,22,60000,27100,7.690552259242354,22.706526700136923,38.44705613874943,EU27
DE22,Niederbayern,10328,1273955,9.436597,24.12597,21.346201,6.3366445,80.9,26.2,1.8,42.8,40900,22300,5.770720371804802,31.371030209140198,36.19287374128582,EU27
DE23,Oberpfalz,9691,1133741,9.540186,24.03715,21.095735,6.4481217,80.5,31.7,2.3,48.7,43700,22100,5.530904963368073,26.632958415024248,46.25941595294603,EU27
DE24,Oberfranken,7232,1073783,8.906641,22.9769,23.179451,7.3369573,80,26.7,2.4,41.9,38800,22100,6.402101769911504,27.779314159292035,47.08241150442478,EU27
DE25,Mittelfranken,7243,1805791,9.806229,24.38693,20.966712,6.7297932,80.8,35.8,2,34.6,45400,23000,6.944636200469419,33.950020709650694,33.8119563716692,EU27
DE26,Unterfranken,8530,1334376,9.388358,23.62955,22.748236,7.1969969,81.4,33.1,2,37.3,41200,22500,8.264947245017586,28.698710433763186,44.03282532239156,EU27
DE27,Schwaben,9991,1945978,10.035417,24.77238,21.124545,6.846172,81.5,31.4,1.6,39.5,39800,22900,6.716044439995997,26.27364628165349,31.848663797417675,EU27
DE30,Berlin,891,3755251,9.909165,24.08119,18.874211,6.3341971,80.9,45.4,4.6,34.2,43400,20300,29.741863075196406,4.938271604938271,43.77104377104377,EU27
DE40,Brandenburg,29656,2573135,8.940417,21.94821,25.525827,8.5563719,80.3,30.7,2.9,42.4,31100,20600,4.474642568114378,33.27488535203669,39.13541947666577,EU27
DE50,Bremen,420,684864,9.912479,25.33014,21.10346,7.0592118,79.2,30.9,4,36.3,51000,20400,36.19047619047619,1.9047619047619049,1.9047619047619049,EU27
